Symbol,Name,Price_Intraday,Change,Percentage_Change
SAUC,"Diversified Restaurant Holdings, Inc.",1.045,0.005,0.48
BBI,"Brickell Biotech, Inc.",0.5311,-0.0089,-1.65
DKNGW,DraftKings Inc.,20,20,0
SHY,iShares 1-3 Year Treasury Bond ETF,86.38,0.01,0.01
NTNX,"Nutanix, Inc.",25.9,0.52,2.05
NCMI,"National CineMedia, Inc.",2.07,-0.01,-0.48
SAIIU,,9.9,0,0
RTIX,"RTI Surgical Holdings, Inc.",3.14,-0.19,-5.71
ALNA,"Allena Pharmaceuticals, Inc.",1.29,-0.05,-3.73
PETQ,"PetIQ, Inc.",25.82,-4.84,-15.79
POPE,"Pope Resources, A Delaware Limited Partnership",98.8,0,0
UAE,iShares MSCI UAE ETF,10.64,0.14,1.33
WIFI,"Boingo Wireless, Inc.",9.5,-0.35,-3.55
AMSF,"Amerisafe, Inc.",61.1,0.81,1.34
AVDL,Avadel Pharmaceuticals plc,5.4,-0.29,-5.1
SESN,"Sesen Bio, Inc.",1.03,-0.03,-2.83
TWST,Twist Bioscience Corporation,99.61,3.01,3.12
CHNR,"China Natural Resources, Inc.",1.21,-0.01,-0.82
DGII,Digi International Inc.,16.12,-0.245,-1.5
SIBN,"SI-BONE, Inc.",21.08,-0.34,-1.59
VRA,"Vera Bradley, Inc.",6.67,-0.2,-2.91
AIKI,AIkido Pharma Inc.,0.4991,-0.0069,-1.36
MMDMW,Modern Media Acquisition Corp. Warrant,10.79,-0.05,-0.46
HOMB,"Home Bancshares, Inc. (Conway, AR)",16.24,-0.57,-3.39
NWE,NorthWestern Corporation,52.92,-0.88,-1.64
NWL,Newell Brands Inc.,18.875,-0.685,-3.5
XLRN,Acceleron Pharma Inc.,113.44,3.95,3.61
CARO,Carolina Financial Corporation,32.88,-0.95,-2.81
KTOS,"Kratos Defense & Security Solutions, Inc.",19.53,-0.51,-2.54
FNK,First Trust Mid Cap Value AlphaDEX Fund,29.9442,-0.4086,-1.35
SAMAU,Schultze Special Purpose Acquisition Corp.,11.44,0,0
BIB,ProShares Ultra Nasdaq Biotechnology,71.6,-3.15,-4.21
TMDX,"TransMedics Group, Inc.",12.81,-0.38,-2.88
SPNE,SeaSpine Holdings Corporation,13.66,0,0
LEGN,Legend Biotech Corporation,26.26,-1.66,-5.95
SNDX,"Syndax Pharmaceuticals, Inc.",20.97,-0.96,-4.38
RICK,"RCI Hospitality Holdings, Inc.",23.88,-1,-4.02
CGROU,Collective Growth Corporation,10.18,0.04,0.39
AOUTV,"American Outdoor Brands, Inc.",19.4,3.91,25.24
DFHT,Deerfield Healthcare Technology Acquisitions Corp.,10.25,0,0
SHIPW,Seanergy Maritime Holdings Corp.,0.0189,-0.0026,-12.09
LCYAU,"Landcadia Holdings III, Inc",9.97,0,0
FEYE,"FireEye, Inc.",14.86,-0.22,-1.46
ROLL,RBC Bearings Incorporated,127.55,0.04,0.03
UTMD,"Utah Medical Products, Inc.",81.25,-1.9,-2.29
WTFC,Wintrust Financial Corporation,47.63,-1.57,-3.19
BSCE,Invesco BulletShares (R) 2023 USD Emerging Markets Debt ETF,26.19,0,0
BFIT,Global X Health & Wellness Thematic ETF,23.14,0.04,0.17
RSSS,"Research Solutions, Inc.",2.28,0.02,0.88
IMBI,"iMedia Brands, Inc.",6.29,0.14,2.28
NMTR,"9 Meters Biopharma, Inc.",0.723,0.008,1.12
STTK,"Shattuck Labs, Inc.",26.81,-1.15,-4.11
UNB,"Union Bankshares, Inc.",21.95,0.36,1.67
TZACW,Tenzing Acquisition Corp. WT EXP 022325,0.3988,-0.0311,-7.23
GP,1410662,10.16,-0.28,-2.68
LRMR,"Larimar Therapeutics, Inc.",17.83,-1.35,-7.04
MDB,"MongoDB, Inc.",252.4,-0.75,-0.3
FAST,Fastenal Company,46.98,0.64,1.38
ZIONN,"Zions Bancorporation, National Association",25.55,-0.14,-0.54
QUIK,QuickLogic Corporation,2.74,0.01,0.37
DWTR,Invesco DWA Tactical Sector Rotation ETF,35.305,0,0
CURI,,9.24,0.03,0.33
DWAW,AdvisorShares DWA FSM All Cap World ETF,33.4739,0.078,0.23
SVVC,"Firsthand Technology Value Fund, Inc.",3.16,-0.06,-1.86
ARCT,Arcturus Therapeutics Holdings Inc.,63.36,2.1,3.43
BBBY,Bed Bath & Beyond Inc.,21.44,-0.06,-0.28
ARTNA,Artesian Resources Corporation,35.65,-0.1929,-0.54
EVBG,"Everbridge, Inc.",129.75,11.77,9.98
KDMN,"Kadmon Holdings, Inc.",3.19,-0.28,-8.07
WABC,Westamerica Bancorporation,52.55,-0.11,-0.21
DLPN,"Dolphin Entertainment, Inc.",0.635,0.0002,0.03
TDACW,Trident Acquisitions Corp. Warrants ,0.3175,-0.0725,-18.59
BURG,"Chanticleer Holdings, Inc.",0.3371,-0.064,-15.96
ATAI,ATA Creativity Global,,,0
GOOD,Gladstone Commercial Corporation,16.03,-0.57,-3.43
GMLPP,Golar LNG Partners LP 8.75% CUM PFD A,19,-0.3431,-1.77
SANM,Sanmina Corporation,26.7,0.46,1.75
WIRE,Encore Wire Corporation,48.64,0.16,0.33
TCGP,The Carlyle Group L.P.,13.49,0.8,6.3
COGT,"Cogent Biosciences, Inc.",2.45,-0.04,-1.61
PDLI,"PDL BioPharma, Inc.",2.24,0,0
CDTX,"Cidara Therapeutics, Inc.",2.32,-0.22,-8.66
PBIP,"Prudential Bancorp, Inc.",10.62,-0.94,-8.13
MARA,"Marathon Patent Group, Inc.",2.41,-0.085,-3.41
MSFT,Microsoft Corporation,223.72,0.43,0.19
GH,"Guardant Health, Inc.",112.96,-4.46,-3.8
BWMX,"Betterware de Mexico, S.A.P.I. de C.V.",34.16,4.2494,14.21
RIBT,RiceBran Technologies,0.475,-0.0044,-0.92
IBTD,iShares Trust - iShares iBonds Dec 2023 Term Treasury ETF,25.7,-0.01,-0.04
IBTJ,iShares Trust - iShares iBonds Dec 2029 Term Treasury ETF,26.345,-0.0915,-0.35
BPRAP,Brookfield Property REIT Inc.,16.06,0.4,2.55
GLADL,Gladstone Capital Corporation -,24.82,0,0
TESS,TESSCO Technologies Incorporated,5.47,-0.21,-3.7
KELYB,"Kelly Services, Inc.",18.13,-0.39,-2.11
FELE,"Franklin Electric Co., Inc.",62.94,-0.56,-0.88
CERN,Cerner Corporation,72.96,0.56,0.77
ERES,984638,9.75,0,0
MBINP,Merchants Bancorp,26.84,0.55,2.09
FLMN,Falcon Minerals Corporation,2.22,-0.28,-11.2
NVIV,InVivo Therapeutics Holdings Corp.,0.528,0.0009,0.17
DFFN,Diffusion Pharmaceuticals Inc.,0.81,0.02,2.53
CCCL,"China Ceramics Co., Ltd.",2.42,0.02,0.83
PVBC,"Provident Bancorp, Inc.",8.84,-0.11,-1.23
TZACU,Tenzing Acquisition Corp.,10.44,0,0
VBLT,Vascular Biogenics Ltd.,1.16,0,0
FPAYW,"FlexShopper, Inc. WT EXP 092823",4.45,0.45,11.25
KRYS,"Krystal Biotech, Inc.",40.64,-2.79,-6.42
HYMCW,Hycroft Mining Holding Corporation,1.85,0.07,3.93
OSBC,"Old Second Bancorp, Inc.",8.86,-0.32,-3.49
GIFI,"Gulf Island Fabrication, Inc.",3,-0.01,-0.33
HLIO,"Helios Technologies, Inc.",44.25,-0.4,-0.9
HLIT,Harmonic Inc.,6.18,-0.12,-1.9
