,symbol,name,price,changesPercentage,change,dayLow,dayHigh,yearHigh,yearLow,priceAvg50,priceAvg200,avgVolume
2404,BPOPN,Popular Capital Trust I PFD 6.70% GTD,26.23,-1.02,-0.27,26.05,26.55,27.77,20.28,26.708286,25.957285,5353.0
2405,BPOPM,Popular Capital Trust II PFD GTD 6.125%,25.5,-1.89,-0.49,25.5,25.73,27.33,19.06,26.024857,25.407356,3518.0
2406,GLYC,"GlycoMimetics, Inc.",2.98,-2.3,-0.07,2.85,3.08,6.72,1.82,3.2234285,3.401,348618.0
2407,HCM,Hutchison China MediTech Limited,32.52,-1.54,-0.51,32.39,33.2,34.9,14.74,31.950571,28.286142,219992.0
2408,DAKT,"Daktronics, Inc.",4.17,2.46,0.1,4.025,4.21,6.96,3.69,4.0414286,4.2200713,176614.0
2409,VNOM,Viper Energy Partners LP,7.52,-1.05,-0.08,7.49,7.78,26.83,4.98,7.5637145,9.440714,539257.0
2410,PTC,PTC Inc.,94.84,0.96,0.9,92.735,95.64,97.67,43.9,85.69457,81.333855,790278.0
2411,AMCI,AMCI Acquisition Corp.,10.24,-0.1,-0.01,10.22,10.26,10.92,9.85,10.303572,10.291643,145778.0
2412,NFE,New Fortress Energy LLC,37.2,-1.27,-0.48,36.83,39.03,54.92,7.01,44.171715,25.371143,579609.0
2413,PSCI,Invesco S&P SmallCap Industrials ETF,66.3393,-1.13,-0.7586,66.189,67.12,74.24,40.03,65.03514,60.879856,7753.0
2414,OTTR,Otter Tail Corporation,39.8,-1.04,-0.42,39.58,40.53,56.9,30.95,38.519714,39.62693,122531.0
2415,NHTC,Natural Health Trends Corp.,5.43,-0.55,-0.03,5.31,5.61,8.27,2.52,5.79,5.717143,22870.0
2416,ASPS,Altisource Portfolio Solutions S.A.,11.05,-2.3,-0.26,10.8898,11.36,19.87,6.0,12.560857,11.875,94192.0
2417,AUVI,"Applied UV, Inc.",6.31,17.72,0.95,5.65,7.66,12.99,5.137,6.891286,6.8937755,941773.0
2418,EFOI,"Energy Focus, Inc.",7.04,-0.71,-0.05,6.92,7.15,11.6,0.8,7.3011427,6.0784287,195820.0
2419,PEGI,Pattern Energy Group Inc.,26.74,0.0,0.0,26.72,26.76,28.5,25.97,26.74,26.74,0.0
2420,BICK,First Trust BICK Index Fund,32.27,0.53,0.17,31.85,32.27,32.27,17.48,29.932571,27.679214,1907.0
2421,JMU,JMU Limited,30.4182,0.22,0.0682,30.2622,30.44,31.76,20.86,29.58343,28.106785,52920.0
2422,CACG,ClearBridge All Cap Growth ETF,41.2395,0.01,0.005,40.96,41.441,41.67,24.14,39.721714,37.247272,11471.0
2423,NEON,Neonode Inc.,8.85,3.39,0.29,8.4,8.86,13.0,1.09,8.087714,7.7449284,96428.0
2424,DWPP,First Trust Dorsey Wright People's Portfolio ETF,26.29,-0.57,-0.15,26.29,26.44,35.01,21.283,25.462458,25.415443,3221.0
2425,BUG,Global X Cybersecurity ETF,22.375,-0.73,-0.165,22.19,22.5,23.97,11.02,22.196972,20.680737,41957.0
2426,NBACU,Newborn Acquisition Corp.,10.5,0.0,0.0,10.5,10.5,11.0,9.3,10.430858,10.180789,1794.0
2427,FBIOP,"Fortress Biotech, Inc.",17.97,0.67,0.12,17.9353,17.97,21.878,12.0,18.483429,18.437557,29926.0
2428,RILYI,"B. Riley Financial, Inc. - 6.87",24.94,-0.08,-0.02,24.8543,24.99,26.28,11.9,24.695715,23.779572,6751.0
2429,SY,So-Young International Inc.,11.99,1.78,0.21,11.64,12.07,16.06,8.03,12.248571,12.041857,587650.0
2430,TA,TravelCenters of America Inc.,29.14,-4.71,-1.44,28.5501,30.7957,31.2,5.51,23.336,17.492144,251854.0
2431,IEC,IEC Electronics Corp.,9.69,-2.32,-0.23,9.53,9.92,10.35,5.0,9.182571,8.694357,29514.0
2432,MTSL,Mer Telemanagement Solutions Ltd.,1.24,0.0,0.0,1.17,1.26,2.38,0.75,1.256,1.2525,190484.0
2433,NBLX,Noble Midstream Partners LP,7.92,-2.34,-0.19,7.4501,8.1899,28.88,1.81,8.100572,8.366357,394356.0
2434,BRQS,"Borqs Technologies, Inc.",0.98,-4.85,-0.05,0.98,1.05,8.4,0.811,1.0719714,1.2681786,3316915.0
2435,AUB,Atlantic Union Bankshares Corporation,24.87,-2.39,-0.61,24.84,25.89,38.77,18.55,23.84743,23.123642,244873.0
2436,AQST,"Aquestive Therapeutics, Inc.",5.63,2.55,0.14,5.2,5.7,10.0,1.41,5.4707146,5.7427144,1097882.0
2437,AIRTP,"Air T, Inc.",23.75,5.56,1.25,23.14,23.75,27.4,18.01,22.216372,21.659815,329.0
2438,HBP,"Huttig Building Products, Inc.",3.63,4.01,0.14,3.4775,3.64,3.75,0.49,2.8094287,1.891,456693.0
2439,UMPQ,Umpqua Holdings Corporation,12.52,-3.4,-0.44,12.48,13.07,18.94,8.88,12.034286,11.4033575,1713114.0
2440,AVT,"Avnet, Inc.",26.74,0.41,0.11,26.37,26.92,43.0,17.85,26.712856,27.405857,701106.0
2441,GULF,WisdomTree Middle East Dividend Fund,16.335,0.8,0.13,16.16,16.4962,20.735,12.84,16.335,16.00718,0.0
2442,UVSP,Univest Financial Corporation,15.64,-4.98,-0.82,15.51,16.58,27.54,13.2,15.396571,15.790714,90542.0
2443,AGNCO,AGNC Investment Corp.,21.9,-0.59,-0.13,21.89,22.14,26.59,8.87,22.732,22.603386,54760.0
2444,CRBP,"Corbus Pharmaceuticals Holdings, Inc.",1.13,0.0,0.0,1.02,1.17,9.78,0.91,1.2754858,5.4646215,5107531.0
2445,GSHD,"Goosehead Insurance, Inc",121.85,-1.88,-2.34,121.02,126.51,128.91,37.26,99.60686,83.7615,170403.0
2446,SEIC,SEI Investments Company,52.7,-0.02,-0.01,52.11,53.04,69.61,35.41,52.435715,53.0865,557639.0
2447,OCSI,Oaktree Strategic Income Corporation,6.87,-0.87,-0.06,6.85,6.97,8.5,4.28,6.581143,6.376714,41645.0
2448,LMNR,Limoneira Company,13.97,0.14,0.02,13.8676,14.2,21.85,10.6,14.475715,13.996142,45040.0
2449,DYAI,"Dyadic International, Inc.",6.96,0.14,0.01,6.82,7.15,10.98,2.51,7.2825713,7.6075716,113851.0
2450,UBX,"Unity Biotechnology, Inc.",4.21,-0.71,-0.03,4.14,4.33,15.44,2.72,3.8422856,6.3826427,1686384.0
2451,FRSX,Foresight Autonomous Holdings Ltd.,0.91,0.02,0.0002,0.8812,0.95,1.95,0.461,0.948,1.0965428,1597632.0
2452,COUP,Coupa Software Incorporated,304.57,-2.22,-6.91,299.0707,310.04,353.55,99.01,286.84244,265.658,1253176.0
2453,ACCD,"Accolade, Inc.",37.46,0.97,0.36,36.21,38.19,44.955,0.55,37.561,35.348736,334201.0
2454,SNCR,"Synchronoss Technologies, Inc.",2.85,-0.35,-0.01,2.78,2.9399,6.51,2.17,3.0588572,3.3322856,541779.0
2455,IBOC,International Bancshares Corporation,27.6,-3.34,-0.955,27.365,28.94,44.0,15.6,27.568,29.729214,176150.0
2456,NTCT,"NetScout Systems, Inc.",21.69,1.64,0.35,20.86,21.74,29.62,19.11,22.167143,24.414785,406509.0
2457,GDYN,"Grid Dynamics Holdings, Inc.",8.75,7.23,0.59,8.51,9.0,13.51,4.61,8.028857,7.7867856,206909.0
2458,NPAUU,New Providence Acquisition Corp.,10.25,0.0,0.0,10.25,10.75,10.95,9.8,10.530843,10.501946,652.0
2459,FLXN,"Flexion Therapeutics, Inc.",10.9,-7.16,-0.84,10.47,11.71,22.98,5.01,11.606571,11.743714,528856.0
2460,FUV,"Arcimoto, Inc.",6.09,-2.25,-0.14,5.87,6.2,8.89,0.966,6.2825713,5.1056643,889314.0
2461,CDC,VictoryShares US EQ Income Enhanced Volatility Wtd ETF,48.92,-0.65,-0.3184,48.7852,49.382,51.08,38.3,48.312973,47.378006,27912.0
2462,LOACW,Longevity Acquisition Corporation WT EXP 073125,0.65,0.0,0.0,0.65,0.7,0.7,0.65,,,
2463,CDAK,"Codiak BioSciences, Inc.",9.09,0.33,0.03,8.92,9.41,14.4,8.4,9.925,9.925,342400.0
2464,CMPR,Cimpress plc,83.87,-3.35,-2.91,83.54,87.22,145.09,40.8,80.277145,81.975,127585.0
2465,BMCH,"BMC Stock Holdings, Inc.",44.32,-1.62,-0.73,43.78,45.18,46.98,13.38,42.45886,31.553356,894656.0
2466,TOTAU,Tottenham Acquisition I Limited,12.85,0.0,0.0,12.85,12.85,13.0,10.36,13.0,11.3714285,1.0
2467,RMCF,"Rocky Mountain Chocolate Factory, Inc.",2.65,-1.49,-0.04,2.6,2.73,9.4,2.55,2.7991428,3.685643,43512.0
2468,AVGR,"Avinger, Inc.",0.247,2.66,0.0064,0.2351,0.2628,1.63,0.214,0.29154286,0.37882143,9588153.0
2469,CFBI,"Community First Bancshares, Inc.",7.34,-2.52,-0.19,7.2103,7.69,12.05,5.36,7.3831143,7.386507,3135.0
2470,RCON,"Recon Technology, Ltd.",1.04,-4.15,-0.045,1.01,1.08,5.55,0.75,1.0245714,1.6025,593067.0
2471,VRAY,"ViewRay, Inc.",2.78,-9.74,-0.3,2.76,3.17,4.88,1.106,3.146143,2.58125,744020.0
2472,ZKIN,"ZK International Group Co., Ltd.",1.76,0.57,0.01,1.69,1.8014,2.03,0.651,1.4494572,1.3361071,94882.0
2473,EYES,"Second Sight Medical Products, Inc.",0.758,1.74,0.013,0.73,0.7759,7.432,0.691,0.83977145,0.96277857,362114.0
2474,VITL,"Vital Farms, Inc.",36.57,3.01,1.07,35.36,36.76,43.3,32.82,36.944714,37.267216,216126.0
2475,ESCA,"Escalade, Incorporated",21.86,-1.53,-0.34,21.84,22.34,22.78,4.69,19.859142,15.151072,54934.0
2476,NYMTM,"New York Mortgage Trust, Inc.",19.6,-0.96,-0.19,19.6,19.8,26.2,3.56,19.529686,19.106756,22451.0
2477,PIHPP,"1347 Property Insurance Holdings, Inc.",23.4,1.56,0.36,23.12,23.4,28.71,17.6,24.027685,24.31803,1112.0
2478,ALNY,"Alnylam Pharmaceuticals, Inc.",130.73,-5.17,-7.13,126.23,137.84,167.33,84.97,137.27342,140.12178,478168.0
2479,IBTX,"Independent Bank Group, Inc.",51.35,-1.87,-0.98,51.295,53.12,63.16,20.35,48.02457,41.890358,255068.0
2480,LK,Luckin Coffee Inc.,1.38,0.0,1.38,1.19,2.46,51.38,1.16,4.2154856,3.3224964,3404729.0
2481,EPIX,ESSA Pharma Inc.,6.08,-2.09,-0.13,5.96,6.25,8.309,3.0,6.4514284,6.0637,119515.0
2482,ETFC,E*TRADE Financial Corporation,49.26,0.0,0.0,48.91,51.18,57.3,25.76,49.178,48.85861,2352307.0
2483,CYAN,Cyanotech Corporation,2.87,-8.89,-0.28,2.84,3.05,3.25,1.82,2.7762856,2.4535,9592.0
